년도,지역,과중(g),경도 평균(단단함),당도,당산비,당산비_class,산도,PLANTY_SCORE,1월 평균 기온,2월 평균 기온,3월 평균 기온,4월 평균 기온,5월 평균 기온,6월 평균 기온,7월 평균 기온,8월 평균 기온,9월 평균 기온,10월 평균 기온,11월 평균 기온,12월 평균 기온,1월 강수량,2월 강수량,3월 강수량,4월 강수량,5월 강수량,6월 강수량,7월 강수량,8월 강수량,9월 강수량,10월 강수량,11월 강수량,12월 강수량,1월 일교차,2월 일교차,3월 일교차,4월 일교차,5월 일교차,6월 일교차,7월 일교차,8월 일교차,9월 일교차,10월 일교차,11월 일교차,12월 일교차
2019,청송,261.1,58.2,14.7,37.69230769,3,0.39,11.19,-1.7,0.9,5.7,10.2,17.1,19.6,23.4,24.5,20,13.4,6.4,0.3,10,20.5,41,74,36,187,100.2,121,168,175.1,28.2,21.8,13,12.7,14.5,15.2,17.7,13.2,9.1,10.2,9.6,11.8,13.9,12.4
2019,영주,356.7,53.8,12.9,39.09090909,2,0.33,9.63,-1.5,1.1,6,11.1,18.1,20.9,23.6,24.5,20.1,13.9,6.5,0.5,0.1,29.1,48.7,64.3,58,87.7,208.9,93.3,168.8,147.6,72.4,17.5,10.7,10.6,13.1,13.7,15.5,12.4,9,10.5,10.2,12,12.8,10.2
2019,장수,258.2,62,12.9,33.94736842,2,0.38,9.63,-2.2,0.4,5.2,10.3,16.3,19.9,23.1,24,20.1,13,6.3,0.7,16.3,44.6,49.5,89,73.3,169.7,299,88.4,239.1,127.4,28,38.5,13.4,12.7,14.1,13.6,16.4,11.1,8.3,10.2,10.5,12.7,14.9,11.2
2019,거창,266.5,54.4,12.3,33.24324324,2,0.37,9.21,-0.4,2.1,7.2,11.6,17.8,21.1,23.7,25,20.7,14.4,7.6,1.7,13.1,29.5,36,103,69,147.5,226.7,92.3,301.3,167.1,22.3,24.6,15.1,13.6,14.7,13.8,16.5,11.8,8.8,10,9.3,12.5,14.8,13.2
2019,충주,316.2,55.3,14.1,34.3902439,3,0.41,10.77,-2.6,0.4,6,11.4,18.3,21.7,25,26,21.1,14.2,6.2,-0.1,4.1,29,27.9,58.5,15.4,59.6,161.4,102.6,165.9,59,84.6,27.5,13,11.7,13.5,13.7,16.5,11.6,9,9.4,9.7,11.7,13.1,9.9
2019,포천,328.2,38,16.1,32.2,1,0.5,11.57,-3.9,-1,5.2,10.5,18.3,21.5,24.8,25.5,20.7,14,5.3,-0.3,0,20.5,46.5,37.5,29.5,68,267,153,171.5,51.5,58,18.5,14.5,12.8,14,14.8,15.9,11.6,8.8,10,11,13.5,13.7,10.5
2019,화성,384.2,35.5,14.1,27.64705882,1,0.51,10.17,-1,0.7,6.3,11.4,17.9,21.5,25.4,26.8,22.4,16.2,8,1.9,0,22,29,29.5,21,80.5,174,61.5,126.5,48,83.5,16,9.9,9.7,11.2,11.5,13,9.9,8.2,9,8.7,10.2,10.8,8.6
2019,완주,276.7,35.8,12.4,25.83333333,1,0.48,8.98,-1.2,1.3,6.3,11.2,17.6,21.3,24.8,25.7,21.6,15.5,8.7,2.8,6,52,24.5,129.5,91.8,85.9,174,136.9,216.4,76.2,60.9,26.2,13,12.7,15.1,14,17,11.9,8.8,10,9.8,11.9,14,11.8
2020,군위,251.5,60.9,15.2,36.19047619,3,0.42,11.54,1.4,2.6,7.5,10.8,17.8,23.1,22.6,26.9,19.5,12.7,6.5,-1.5,54,53.5,16,29.5,69,169.5,369.5,258.5,140,6.5,9.5,0.5,10.9,13.4,15.5,16.1,13.5,12.6,7.7,8.7,10.2,14.2,13.9,13.7
2020,청송,283.1,54.4,13.9,35.64102564,3,0.39,10.63,0.7,1.7,6.5,9.5,16.7,21.9,21.2,25.7,18.5,11.6,6.4,-2.4,95.2,54.1,14.5,39.5,50.5,117.1,389.6,249.2,221.5,4.5,48.1,2,10.7,12.7,15.3,15.8,13.9,14.1,8.5,9.7,10.7,14.3,14.1,13.7
2020,영주,318,55.1,13.9,32.3255814,1,0.43,10.03,1.4,2.1,7.2,10.3,17.1,22.5,21.7,25,18.7,12.1,6.9,-1.2,67.6,62.1,16.1,26.2,147.2,142.3,445.9,437.1,108.3,1.2,40.1,5.8,9.3,11.1,13.3,14,11.6,11.1,7.2,7.9,10.1,13.4,11.4,10.3
2020,장수,300.3,63.3,12.9,34.86486486,3,0.37,9.93,0.6,1.7,6.1,8.2,16.5,21.5,21.6,25.3,17.8,11.1,6.2,-1.8,108.6,65.3,43.2,45.7,81.4,210.2,584.6,623.4,268.2,8.5,73.4,13.5,9.6,12.1,13.7,14.8,11.9,10.4,6.7,7.6,9.8,14.4,13.2,11.4
2020,충주,221.3,55.8,10.5,33.87096774,2,0.31,7.95,0.6,1.8,7,10.2,17.8,23.4,23.1,26.1,19.6,11.8,6.5,-2.7,60.2,61.9,20.7,25.9,109.7,112.1,352.2,505.6,146.4,10.7,30,11.1,10.1,11.2,14.4,15,12.1,10.9,7.7,7.5,9.6,13.7,12.3,11.5
2020,포천,252.2,34.5,13.4,33.5,2,0.4,9.98,-0.4,1.2,6.2,9.9,17,23,23.2,25.8,19.7,11.4,5.4,-3.1,57.5,35,13.5,9.5,141,115.5,207.5,732,137,0.5,93.5,2.5,11.5,12,15.2,15.3,11.4,11.4,8.6,6.5,11,15.4,12.6,12
2020,화성,284.3,36.2,13.6,37.77777778,3,0.36,10.42,1.8,2.6,6.9,10.4,17.2,22.6,23.6,26.5,21.3,14.1,8.1,0,41.5,50.5,16.5,12.5,61,76,293,488,204,15,56.5,2.5,8.8,9.4,11.5,11.2,10.6,10.2,7.6,6.5,9.1,10.9,9.4,8.7
2021,포천,314.3,34.1,12.9,36.85714286,3,0.35,9.93,-5.2,0.4,7,12.5,15.7,21.6,24,24.3,20.9,13.5,5.8,-1.5,9.5,5,99,100,212,87.5,73.5,175,110.5,74,67.5,6.5,13.1,13.8,14.4,13.8,12.1,10.9,0,9.1,11,12.3,13.3,11.8
2021,화성,273.7,41.2,12.6,43.44827586,1,0.29,9.12,-1.8,2.4,8,13.4,16.4,22.4,27.7,25.7,22.6,16,8.1,0.9,16,8,88.5,95.5,120.5,30.5,58,143,124.5,23.5,107,8.5,9.9,10.6,11.8,11.4,10.3,9.8,9.3,8.3,0,9.6,9.7,9.4
