년도,지역,작물,"면적

",생산량,단위생산량
2015,성주군,배,24.5,197.8,807.3
2016,성주군,배,19.9,169,849.2
2017,성주군,배,19.7,181.6,921.8
2018,성주군,배,13.2,68.3,517.4
2019,성주군,배,8.5,175.7,"2,067.10"
2015,성주군,복숭아,3,34.4,"1,146.70"
2016,성주군,복숭아,4.3,39,907
2017,성주군,복숭아,4.3,39,907
2018,성주군,복숭아,8.7,77.3,888.5
2019,성주군,복숭아,12.6,164.9,"1,308.70"
2016,구미시,포도,49.6,753.2,"1,518.50"
2017,문경시,포도,6.4,97.2,"1,518.80"
2017,구미시,포도,33.9,515,"1,519.20"
2019,영덕군,포도,28,430,"1,536"
2019,경산시,포도,"1,121.40","17,459.80","1,557.00"
2015,성주군,감,14.7,141,959.2
2016,성주군,감,15.3,96,627.5
2017,성주군,감,18.2,139.1,764.3
2018,성주군,감,19.9,118.2,594
2019,성주군,감,16.2,177.4,"1,095.10"
2015,성주군,대추,-,-,-
2016,성주군,대추,-,-,-
2017,성주군,대추,-,-,-
2018,성주군,대추,-,-,-
2019,성주군,대추,-,-,-
2015,성주군,감귤,-,-,-
2016,성주군,감귤,-,-,-
2017,성주군,감귤,-,-,-
2018,성주군,감귤,-,-,-
2019,성주군,감귤,-,-,-
2015,성주군,체리,-,-,-
2016,성주군,체리,-,-,-
2017,성주군,체리,-,-,-
2018,성주군,체리,-,-,-
2019,성주군,체리,-,-,-
2015,성주군,오디,-,-,-
2016,성주군,오디,-,-,-
2017,성주군,오디,-,-,-
2018,성주군,오디,-,-,-
2019,성주군,오디,-,-,-
2015,성주군,산딸기,-,-,-
2016,성주군,산딸기,-,-,-
2017,성주군,산딸기,-,-,-
2018,성주군,산딸기,-,-,-
2019,성주군,산딸기,-,-,-
2015,성주군,복분자,-,-,-
2016,성주군,복분자,-,-,-
2017,성주군,복분자,-,-,-
2018,성주군,복분자,-,-,-
2019,성주군,복분자,-,-,-
2015,성주군,자두,42.5,274.9,646.8
2016,성주군,자두,22.2,170,765.8
2017,성주군,자두,30.4,229.5,754.9
2018,성주군,자두,33.6,166.3,494.9
2019,성주군,자두,31.9,255.3,800.3
2015,성주군,살구,-,-,-
2016,성주군,살구,-,-,-
2017,성주군,살구,-,-,-
2018,성주군,살구,-,-,-
2019,성주군,살구,-,-,-
2015,안동시,사과,"3,088.00","70,737.00","2,291.00"
2016,안동시,사과,"3,181.00","69,229.00","2,177.00"
2017,안동시,사과,"3,211.00","70,161.00","2,185.00"
2018,안동시,사과,"3,248.00","61,884.00","1,905.00"
2019,안동시,사과,"3,190.00","59,418.00","1,862.00"
2015,안동시,배,27.4,355.8,"1,299.00"
2016,안동시,배,33.5,493.5,"1,473.00"
2017,안동시,배,27.9,399,"1,430.00"
2018,안동시,배,26.4,341.7,"1,294.00"
2019,안동시,배,27.3,341,"1,249.00"
2015,안동시,복숭아,84,"1,172.20","1,395.00"
2016,안동시,복숭아,95.2,"1,527.70","1,605.00"
2017,안동시,복숭아,96.8,"1,529.50","1,580.00"
2018,안동시,복숭아,112.3,"1,695.60","1,510.00"
2019,안동시,복숭아,115.3,"1,692.80","1,468.00"
2016,김천시,포도,"2,120.90","33,035.70","1,557.60"
2016,경주시,포도,115,"1,808.00","1,571.00"
2015,구미시,포도,68,"1,078.00","1,585.00"
2018,군위군,포도,22,350,"1,591"
2019,경주시,포도,104,"1,664.00","1,600.00"
2015,안동시,감,17.6,248,"1,409.00"
2016,안동시,감,4.5,44,978
2017,안동시,감,11.4,162,"1,421.00"
2018,안동시,감,11.5,73.1,636
2019,안동시,감,12.8,70,547
2015,안동시,대추,-,-,-
2016,안동시,대추,-,-,-
2017,안동시,대추,-,-,-
2018,안동시,대추,-,-,-
2019,안동시,대추,-,-,-
2015,안동시,감귤,-,-,-
2016,안동시,감귤,-,-,-
2017,안동시,감귤,-,-,-
2018,안동시,감귤,-,-,-
2019,안동시,감귤,-,-,-
2015,안동시,체리,-,-,-
2016,안동시,체리,-,-,-
2017,안동시,체리,-,-,-
2018,안동시,체리,-,-,-
2019,안동시,체리,-,-,-
2015,안동시,오디,-,-,-
2016,안동시,오디,-,-,-
2017,안동시,오디,-,-,-
2018,안동시,오디,-,-,-
2019,안동시,오디,-,-,-
2015,안동시,산딸기,-,-,-
2016,안동시,산딸기,-,-,-
2017,안동시,산딸기,-,-,-
2018,안동시,산딸기,-,-,-
2019,안동시,산딸기,-,-,-
2015,안동시,복분자,-,-,-
2016,안동시,복분자,-,-,-
2017,안동시,복분자,-,-,-
2018,안동시,복분자,-,-,-
2019,안동시,복분자,-,-,-
2015,안동시,자두,-,-,-
2016,안동시,자두,-,-,-
2017,안동시,자두,-,-,-
2018,안동시,자두,-,-,-
2019,안동시,자두,-,-,-
2015,안동시,살구,-,-,-
2016,안동시,살구,-,-,-
2017,안동시,살구,-,-,-
2018,안동시,살구,-,-,-
2019,안동시,살구,-,-,-
2015,영덕군,사과,536,"10,974","2,047"
2016,영덕군,사과,560,"12,822","2,290"
2017,영덕군,사과,560,"12,237","2,185"
2018,영덕군,사과,560,"10,500","1,875"
2019,영덕군,사과,562,"10,300","1,833"
2015,영덕군,배,92,"1,294","1,407"
2016,영덕군,배,70,"1,005","1,436"
2017,영덕군,배,70,"1,105","1,579"
